gene,phenotype,gene_disgenet_class,NPMI,n_g,n_p,n_gp
CD34,"['C0029463', 'Bone cell cancer', 'HPO', 'HP:0002669']",NA,0.0004884178617258587,2403,1494,1.0
CD68,"['C0023418', 'Leukemia', 'HPO', 'HP:0001909']",S,0.0005162070616126087,1140,6298,2.0
GFAP,"['C2711227', 'Fatty infiltration of liver', 'OMIM, HPO', 'HP:0001397']",NA,0.0005260390893882973,777,9239,2.0
CD38,"['C0015967', 'Fever', 'MSH, OMIM, SNOMEDCT_US, HPO, PPTO', 'HP:0001945']",S,0.0005349350586818101,383,9367,1.0
RB1,"['C0039082', 'Symptom Cluster', 'MSH', 'NULL']",NA,0.0005602251670351934,256,28028,2.0
MYCN,"['C0039082', 'Symptom Cluster', 'MSH', 'NULL']",NA,0.0005602251670351934,256,28028,2.0
KLK6,"['C0012634', 'Clinical disease AND/OR syndrome', 'SNOMEDCT_US', 'NULL']",NA,0.0005778276491359915,59,182416,3.0
APOE,"['C0019158', 'Hepatitis', 'MSH, SNOMEDCT_US, HPO', 'HP:0012115']",NA,0.0005949149847968044,443,8091,1.0
CBL,"['C1457887', 'Symptom (administrative concept)', 'SNOMEDCT_US', 'NULL']",NA,0.0005955246656315577,119,30120,1.0
VIM,"['C0030305', 'Pancreatic inflammation', 'HPO', 'HP:0001733']",NA,0.0005958314000642998,222,32304,2.0
BCL2,"['C0346647', 'Cancer of the pancreas', 'HPO', 'HP:0002894']",NA,0.0005973555623761559,569,37835,6.0
NLRP3,"['C0023895', 'Liver disease', 'SNOMEDCT_US, HPO', 'HP:0001392']",1.0,0.0006147683144599979,8544,7142,17.0
CX3CR1,"['C0009450', 'Communicable Diseases', 'MSH', 'NULL']",NA,0.0006363288301697218,471,76164,10.0
COL11A1,"['C0025202', 'Cancer of skin pigment cells', 'HPO', 'HP:0002861']",S,0.000642098699842296,492,7280,1.0
FLG,"['C0009450', 'Communicable Diseases', 'MSH', 'NULL']",NA,0.0006800474817062179,47,76164,1.0
IL15,"['C0009450', 'Communicable Diseases', 'MSH', 'NULL']",1.0,0.0006800474817062179,47,76164,1.0
CRP,"['C0151786', 'Muscle weakness', 'OMIM, HPO, SNOMEDCT_US', 'HP:0001324']",1.0,0.0007182586467600926,6493,551,1.0
HLF,"['C0011847', 'Diabetes', 'OMIM', 'NULL']",NA,0.0007309018666692352,92,38880,1.0
ATG16L1,"['C0009450', 'Communicable Diseases', 'MSH', 'NULL']",NA,0.0007487869650844641,188,76164,4.0
IRF3,"['C0038454', 'Cerebral vascular events', 'OMIM, HPO', 'HP:0001297']",NA,0.000774903537161838,684,5226,1.0
CGA,"['C0149521', 'Chronic pancreas inflammation', 'HPO', 'HP:0006280']",NA,0.000792245559410727,552,6474,1.0
MPO,"['C0009443', '(Acute nasopharyngitis or rhinitis) or (common cold)', 'SNOMEDCT_US', 'NULL']",1.0,0.0008000014290345207,2819,3806,3.0
MAF,"['C0024299', 'Cancer of lymphatic system', 'HPO', 'HP:0002665']",NA,0.0008038094311905683,546,6544,1.0
MME,"['C0006826', 'Cancer', 'HPO', 'HP:0002664']",NA,0.0008048606850114484,64,167631,3.0
BID,"['C0011847', 'Diabetes', 'OMIM', 'NULL']",NA,0.0008180923512272658,460,38880,5.0
S100A10,"['C0233660', 'Blocking', 'SNOMEDCT_US', 'NULL']",NA,0.000825608372394852,532,6714,1.0
IL6,"['C1258666', '(Ganglion unspecified) or (myxoid cyst)', 'SNOMEDCT_US', 'NULL']",1.0,0.0008262943398881056,1873,1907,1.0
CYP2C19,"['C0039082', 'Symptom Cluster', 'MSH', 'NULL']",NA,0.0008318744361695878,255,28028,2.0
GAB2,"['C0027651', 'Neoplasia', 'HPO', 'HP:0002664']",NA,0.0008779006922742893,47,151966,2.0
LIPA,"['C0027651', 'Neoplasia', 'HPO', 'HP:0002664']",NA,0.0008779006922742893,47,151966,2.0
KMO,"['C0030305', 'Pancreatic inflammation', 'HPO', 'HP:0001733']",NA,0.0008822182482594905,1107,32304,10.0
CD34,"['C0035309', 'Noninflammatory retina disease', 'HPO', 'HP:0000488']",NA,0.0008885430161205118,2403,1485,1.0
TLR3,"['C0030305', 'Pancreatic inflammation', 'HPO', 'HP:0001733']",1.0,0.0008983536428917955,996,32304,9.0
IL6R,"['C0027651', 'Neoplasia', 'HPO', 'HP:0002664']",NA,0.0009222699765284799,94,151966,4.0
TLR3,"['C0013604', 'Dropsy', 'HPO', 'HP:0000969']",1.0,0.0009465207255660478,996,7164,2.0
COL11A1,"['C0003864', 'Arthritis', 'MSH, OMIM, SNOMEDCT_US, HPO', 'HP:0001369']",S,0.0009520947765799517,492,7246,1.0
TLR2,"['PPTO', '\tPain', 'PPTO', 'NULL']",1.0,0.0009540846371314818,1760,24364,12.0
NLRP3,"['C0007131', 'Non-small cell lung cancer', 'HPO', 'HP:0030358']",1.0,0.0009564756917457629,8544,1253,3.0
DBP,"['C0009450', 'Communicable Diseases', 'MSH', 'NULL']",NA,0.0009688157235126159,469,76164,10.0
NES,"['C0027651', 'Neoplasia', 'HPO', 'HP:0002664']",NA,0.0009713628581571361,188,151966,8.0
PRSS1,"['C0012634', 'Clinical disease AND/OR syndrome', 'SNOMEDCT_US', 'NULL']",1.0,0.0009740243993354897,1118,182416,57.0
ATG7,"['C0009450', 'Communicable Diseases', 'MSH', 'NULL']",NA,0.0009792671754234158,422,76164,9.0
TRIM29,"['C0678222', 'Breast cancer', 'HPO', 'HP:0003002']",NA,0.001021731948137812,273,13045,1.0
PAK2,"['C0030305', 'Pancreatic inflammation', 'HPO', 'HP:0001733']",NA,0.0010433033724967043,331,32304,3.0
