gene,phenotype,gene_disgenet_class,NPMI,n_g,n_p,n_gp
CRP,"['C0010823', 'CMV - Cytomegalovirus infection', 'SNOMEDCT_US', 'NULL']",1.0,0.017559720978730372,6493,865,2.0
ATM,"['C0524851', 'Neurodegenerative disease', 'HPO', 'HP:0002180']",NA,0.01757045059473289,1150,2412,1.0
HIF1A,"['C0028754', 'Having too much body fat', 'HPO', 'HP:0001513']",S,0.017577971196674126,117,23705,1.0
STAT1,"['C0011849', 'Diabetes mellitus', 'OMIM, SNOMEDCT_US, HPO', 'HP:0000819']",S,0.017581136265339747,1224,6930,3.0
SPARC,"['C0233660', 'Blocking', 'SNOMEDCT_US', 'NULL']",NA,0.017592370160406393,413,6714,1.0
MIA,"['C0027819', 'Cancer of early nerve cells', 'HPO', 'HP:0003006']",NA,0.017595044939601998,1430,1939,1.0
CD4,"['C0544966', 'Autophagic vacuoles', 'HPO', 'HP:0003736']",S,0.017615802032325184,11407,243,1.0
CYP24A1,"['C0012634', 'Clinical disease AND/OR syndrome', 'SNOMEDCT_US', 'NULL']",NA,0.01761783705427585,353,182416,22.0
HRG,"['C1457887', 'Symptom (administrative concept)', 'SNOMEDCT_US', 'NULL']",S,0.017636374454412313,92,30120,1.0
IRF5,"['C0001339', 'Acute pancreatic inflammation', 'HPO', 'HP:0001735']",NA,0.017638955418463175,289,9588,1.0
HLA-B,"['C0012634', 'Clinical disease AND/OR syndrome', 'SNOMEDCT_US', 'NULL']",1.0,0.01763920051887506,239,182416,15.0
STAT3,"['C0010346', 'Granulomatous enteritis and colitis', 'HPO', 'HP:0100280']",1.0,0.017664726996336484,7790,2576,7.0
KPNA2,"['C0006826', 'Cancer', 'HPO', 'HP:0002664']",NA,0.01766484771190063,85,167631,5.0
PAX8,"['C0006826', 'Cancer', 'HPO', 'HP:0002664']",NA,0.01766484771190063,85,167631,5.0
CDH1,"['C0038454', 'Cerebral vascular events', 'OMIM, HPO', 'HP:0001297']",NA,0.017666491962661162,530,5226,1.0
CFTR,"['C0004623', 'Bacterial Infections', 'MSH', 'NULL']",1.0,0.017677781892106854,7699,2606,7.0
CD80,"['C0021051', 'Decreased immune function', 'HPO', 'HP:0002721']",NA,0.017685143001111157,780,3550,1.0
MAPK1,"['C0006826', 'Cancer', 'HPO', 'HP:0002664']",S,0.017702420516089203,366,167631,21.0
TLR2,"['C0019158', 'Hepatitis', 'MSH, SNOMEDCT_US, HPO', 'HP:0012115']",1.0,0.017708946984695828,1760,8091,5.0
NGF,"['C0009324', 'Colitis ulcerosa', 'HPO', 'HP:0100279']",S,0.017712124566910206,1272,2176,1.0
CAT,"['C0338656', 'Cognitive defects', 'OMIM, HPO', 'HP:0100543']",NA,0.01772825177940248,1919,1442,1.0
TLR4,"['C0239998', 'Frequent infections', 'HPO', 'HP:0002719']",1.0,0.01774636966803886,6731,411,1.0
SP1,"['C0006826', 'Cancer', 'HPO', 'HP:0002664']",NA,0.01775199734203699,295,167631,17.0
SOAT1,"['C0346647', 'Cancer of the pancreas', 'HPO', 'HP:0002894']",NA,0.017768446998154237,148,37835,2.0
ADAM8,"['C0012634', 'Clinical disease AND/OR syndrome', 'SNOMEDCT_US', 'NULL']",NA,0.017769933054170923,78,182416,5.0
CLU,"['C0038454', 'Cerebral vascular events', 'OMIM, HPO', 'HP:0001297']",S,0.01779155434464683,529,5226,1.0
APC,"['C0001339', 'Acute pancreatic inflammation', 'HPO', 'HP:0001735']",NA,0.017793521100376835,1786,9588,6.0
DAP,"['C0007097', 'Carcinoma', 'HPO, PPTO', 'HP:0030731']",NA,0.01779960318150171,146,18933,1.0
CCR6,"['C0007097', 'Carcinoma', 'HPO, PPTO', 'HP:0030731']",NA,0.01779960318150171,146,18933,1.0
CAT,"['C1565489', 'Renal insufficiency', 'OMIM, HPO, SNOMEDCT_US', 'HP:0000083']",NA,0.017820160901136254,1919,1440,1.0
CCR5,"['C0021400', 'Flu', 'SNOMEDCT_US', 'NULL']",NA,0.01782881238567209,589,4691,1.0
FGFR1,"['C2711227', 'Fatty infiltration of liver', 'OMIM, HPO', 'HP:0001397']",NA,0.01784170783160494,299,9239,1.0
PTEN,"['C0152013', 'Lung adenocarcinoma', 'HPO', 'HP:0030078']",S,0.017843769418228052,2695,1025,1.0
MSC,"['C0009676', 'Confusion', 'MSH, OMIM, SNOMEDCT_US, HPO', 'HP:0001289']",NA,0.017846478344736513,3186,867,1.0
PLAUR,"['C0346647', 'Cancer of the pancreas', 'HPO', 'HP:0002894']",S,0.01785383855418363,73,37835,1.0
NF2,"['C0346647', 'Cancer of the pancreas', 'HPO', 'HP:0002894']",NA,0.01785383855418363,73,37835,1.0
VGF,"['C0346647', 'Cancer of the pancreas', 'HPO', 'HP:0002894']",NA,0.01785383855418363,73,37835,1.0
ATG7,"['C0024299', 'Cancer of lymphatic system', 'HPO', 'HP:0002665']",NA,0.017863117899276602,422,6544,1.0
CA2,"['C0011847', 'Diabetes', 'OMIM', 'NULL']",S,0.01788921253573401,71,38880,1.0
CD4,"['C0022354', 'Cholestatic jaundice syndrome', 'SNOMEDCT_US', 'NULL']",S,0.01789436951226756,11407,490,2.0
ACE2,"['C0014868', 'Esophagitis', 'MSH, OMIM, SNOMEDCT_US, HPO', 'HP:0100633']",S,0.017902391629151776,9132,612,2.0
PCK1,"['C0006826', 'Cancer', 'HPO', 'HP:0002664']",NA,0.01790683505228719,102,167631,6.0
GDNF,"['C1290884', 'Inflammatory disease', 'SNOMEDCT_US', 'NULL']",NA,0.017913733595067288,503,5486,1.0
TLR9,"['C0878544', 'Disease of the heart muscle', 'HPO', 'HP:0001638']",NA,0.017917141349270044,1228,2247,1.0
VDR,"['C0024299', 'Cancer of lymphatic system', 'HPO', 'HP:0002665']",S,0.01791887743902962,1729,6544,4.0
VEGFA,"['C0020456', 'High blood glucose', 'HPO', 'HP:0003074']",1.0,0.017920165278014665,490,5631,1.0
MMP1,"['C0346647', 'Cancer of the pancreas', 'HPO', 'HP:0002894']",NA,0.01793119346657763,299,37835,4.0
LMF1,"['C0149521', 'Chronic pancreas inflammation', 'HPO', 'HP:0006280']",1.0,0.01795055622847551,426,6474,1.0
CCS,"['C0009450', 'Communicable Diseases', 'MSH', 'NULL']",NA,0.01795136722284897,339,76164,9.0
ACE2,"['C0085293', 'Enterically-Transmitted Non-A, Non-B Hepatitis', 'MSH', 'NULL']",S,0.017951996904112383,9132,302,1.0
STAT3,"['C0004763', 'Barret syndrome', 'HPO', 'HP:0100580']",1.0,0.017956895435736312,7790,354,1.0
TFAM,"['C4761312', 'Acquired deficiency', 'SNOMEDCT_US', 'NULL']",NA,0.017959200752478553,162,17022,1.0
CXCL13,"['C0004153', 'Atheromatosis', 'SNOMEDCT_US, HPO', 'HP:0002635']",NA,0.01797308237684783,566,4871,1.0
ATG5,"['C0009450', 'Communicable Diseases', 'MSH', 'NULL']",S,0.017980366525446753,570,76164,15.0
SIRT1,"['C0028754', 'Having too much body fat', 'HPO', 'HP:0001513']",S,0.017997319937228754,2579,23705,21.0
HMGB1,"['C0022658', 'Nephropathy', 'OMIM, HPO, SNOMEDCT_US', 'HP:0000112']",1.0,0.017998826462458775,6945,6674,16.0
NQO1,"['C1290884', 'Inflammatory disease', 'SNOMEDCT_US', 'NULL']",S,0.01802074482102366,1017,5486,2.0
GAPDH,"['C0014175', 'Endometriosis', 'MSH, OMIM, SNOMEDCT_US, HPO', 'HP:0030127']",NA,0.01802532064814811,3902,706,1.0
MUC4,"['C0009450', 'Communicable Diseases', 'MSH', 'NULL']",NA,0.018031798942566676,531,76164,14.0
AIM2,"['C0678222', 'Breast cancer', 'HPO', 'HP:0003002']",NA,0.01804782990803178,646,13045,3.0
CAT,"['C0009319', 'Colitis', 'MSH, OMIM, HPO, SNOMEDCT_US', 'HP:0002583']",NA,0.018059093702351516,1919,8892,6.0
VCAM1,"['PPTO', '\tPain', 'PPTO', 'NULL']",NA,0.01806571701488773,113,24364,1.0
CRP,"['C0524909', 'Chronic Hepatitis B Virus Infection', 'MSH', 'NULL']",1.0,0.0180681223377799,6493,424,1.0
EMD,"['C0007222', 'Cardiovascular disease', 'SNOMEDCT_US, HPO', 'HP:0001626']",NA,0.018082941053823662,503,5472,1.0
ATF4,"['C0271510', 'Auditory recruitment', 'SNOMEDCT_US', 'NULL']",NA,0.018095661901667625,743,7501,2.0
MAF,"['C0011860', 'NIDDM diabetes mellitus', 'HPO', 'HP:0005978']",NA,0.018112015254258804,546,10205,2.0
EGF,"['C1621958', 'Glioblastoma', 'HPO', 'HP:0012174']",NA,0.01811364751862161,1505,1828,1.0
FABP4,"['C0020538', 'Hypertension', 'MSH, OMIM, SNOMEDCT_US, HPO', 'HP:0000822']",NA,0.01811769143701103,266,10342,1.0
NOD1,"['C0019158', 'Hepatitis', 'MSH, SNOMEDCT_US, HPO', 'HP:0012115']",S,0.018118461735180297,340,8091,1.0
CD68,"['C0524851', 'Neurodegenerative disease', 'HPO', 'HP:0002180']",S,0.01814879935023053,1140,2412,1.0
CRP,"['C0085584', 'Encephalopathy', 'OMIM, HPO, MSH, SNOMEDCT_US', 'HP:0001298']",1.0,0.01815276003047821,6493,1737,4.0
CD19,"['C0003962', 'Accumulation of fluid in the abdomen', 'HPO', 'HP:0001541']",S,0.018156795385119207,1318,2086,1.0
CD36,"['C0027651', 'Neoplasia', 'HPO', 'HP:0002664']",NA,0.018169916901449853,754,151966,39.0
GFAP,"['C0013604', 'Dropsy', 'HPO', 'HP:0000969']",NA,0.018180584336309622,777,7164,2.0
GDF15,"['C4761312', 'Acquired deficiency', 'SNOMEDCT_US', 'NULL']",NA,0.018183502080956586,327,17022,2.0
AQP1,"['C0007102', 'Colon cancer', 'HPO', 'HP:0003003']",S,0.01819727205934259,811,3388,1.0
CRP,"['C3714757', 'Juvenile RA', 'HPO', 'HP:0005681']",1.0,0.018204615742994028,6493,857,2.0
NCL,"['C0039082', 'Symptom Cluster', 'MSH', 'NULL']",NA,0.018219544780527588,98,28028,1.0
CHRNA7,"['C0039082', 'Symptom Cluster', 'MSH', 'NULL']",NA,0.018219544780527588,98,28028,1.0
CYP3A5,"['C0039082', 'Symptom Cluster', 'MSH', 'NULL']",NA,0.018219544780527588,98,28028,1.0
CD28,"['C0678222', 'Breast cancer', 'HPO', 'HP:0003002']",NA,0.0182280335397419,1084,13045,5.0
TFPI,"['C0030305', 'Pancreatic inflammation', 'HPO', 'HP:0001733']",NA,0.018241342660362616,85,32304,1.0
ERBB4,"['C0030305', 'Pancreatic inflammation', 'HPO', 'HP:0001733']",NA,0.018241342660362616,85,32304,1.0
FAP,"['C0149521', 'Chronic pancreas inflammation', 'HPO', 'HP:0006280']",NA,0.01824996380726417,1298,6474,3.0
MAPK1,"['C0271510', 'Auditory recruitment', 'SNOMEDCT_US', 'NULL']",S,0.01825277494775682,366,7501,1.0
PTF1A,"['C0007097', 'Carcinoma', 'HPO, PPTO', 'HP:0030731']",NA,0.018254728763957586,145,18933,1.0
TET1,"['C0007097', 'Carcinoma', 'HPO, PPTO', 'HP:0030731']",NA,0.018254728763957586,145,18933,1.0
DDX31,"['C0007097', 'Carcinoma', 'HPO, PPTO', 'HP:0030731']",NA,0.018254728763957586,145,18933,1.0
CD44,"['C0041296', 'Infection caused by Mycobacterium tuberculosis', 'SNOMEDCT_US', 'NULL']",NA,0.018259531355833213,2275,2444,2.0
USP14,"['C0009450', 'Communicable Diseases', 'MSH', 'NULL']",S,0.018261129188357546,73,76164,2.0
RTCA,"['C0027651', 'Neoplasia', 'HPO', 'HP:0002664']",NA,0.01826967388257688,93,151966,5.0
GEM,"['C0015672', 'Fatigue', 'MSH, OMIM, SNOMEDCT_US, HPO', 'HP:0012378']",NA,0.01827593499584762,966,2841,1.0
ATF3,"['C2711227', 'Fatty infiltration of liver', 'OMIM, HPO', 'HP:0001397']",S,0.018286142463449992,297,9239,1.0
NLRP1,"['C2711227', 'Fatty infiltration of liver', 'OMIM, HPO', 'HP:0001397']",NA,0.018286142463449992,297,9239,1.0
LRG1,"['C0678222', 'Breast cancer', 'HPO', 'HP:0003002']",NA,0.018296115960276877,426,13045,2.0
AKT1,"['C0027651', 'Neoplasia', 'HPO', 'HP:0002664']",NA,0.018298167174116694,362,151966,19.0
DBP,"['C1457887', 'Symptom (administrative concept)', 'SNOMEDCT_US', 'NULL']",NA,0.018304075479707426,469,30120,5.0
HMGB1,"['C0267941', 'Acute necrotizing pancreatitis (disorder)', 'SNOMEDCT_US', 'NULL']",1.0,0.0183073270549635,6945,1209,3.0
MIA,"['C0848332', 'Spots', 'SNOMEDCT_US', 'NULL']",NA,0.01831614656509712,1430,1918,1.0
JAK2,"['C0006625', 'Cachexia', 'MSH, OMIM, SNOMEDCT_US, HPO', 'HP:0004326']",S,0.018328219628583654,1970,1392,1.0
LDHA,"['C0024623', 'Gastric cancer', 'HPO', 'HP:0012126']",NA,0.01833524716497511,497,5517,1.0
SRC,"['C0024299', 'Cancer of lymphatic system', 'HPO', 'HP:0002665']",NA,0.018335561127303095,419,6544,1.0
SIX3,"['C0009450', 'Communicable Diseases', 'MSH', 'NULL']",NA,0.01833633396399073,36,76164,1.0
ATM,"['C0017638', 'Glioma', 'HPO', 'HP:0009733']",NA,0.01834367636240627,1150,2384,1.0
HGF,"['C0281361', 'Pancreatic adenocarcinoma', 'HPO, PPTO', 'HP:0006725']",1.0,0.018344956534947256,1271,2157,1.0
PCSK1,"['C0012634', 'Clinical disease AND/OR syndrome', 'SNOMEDCT_US', 'NULL']",NA,0.018353007438683903,46,182416,3.0
PAX2,"['C0012634', 'Clinical disease AND/OR syndrome', 'SNOMEDCT_US', 'NULL']",NA,0.018353007438683903,46,182416,3.0
STIM1,"['C0019247', 'Genetic Diseases', 'MSH', 'NULL']",S,0.018354691486712513,1736,1579,1.0
PNLIP,"['C1457887', 'Symptom (administrative concept)', 'SNOMEDCT_US', 'NULL']",1.0,0.018360103096136234,91,30120,1.0
CD2,"['C1457887', 'Symptom (administrative concept)', 'SNOMEDCT_US', 'NULL']",NA,0.018360103096136234,91,30120,1.0
CD99,"['C1457887', 'Symptom (administrative concept)', 'SNOMEDCT_US', 'NULL']",NA,0.018360103096136234,91,30120,1.0
DICER1,"['C1457887', 'Symptom (administrative concept)', 'SNOMEDCT_US', 'NULL']",NA,0.018360103096136234,91,30120,1.0
ADRB2,"['C0027651', 'Neoplasia', 'HPO', 'HP:0002664']",NA,0.018365489490379805,74,151966,4.0
TRAF1,"['C0027651', 'Neoplasia', 'HPO', 'HP:0002664']",NA,0.018365489490379805,74,151966,4.0
PIK3CD,"['C0027651', 'Neoplasia', 'HPO', 'HP:0002664']",NA,0.018365489490379805,74,151966,4.0
ST3GAL4,"['C0027651', 'Neoplasia', 'HPO', 'HP:0002664']",NA,0.018365489490379805,74,151966,4.0
CRP,"['C0007134', 'Cancer starting in small tubes in kidneys', 'HPO', 'HP:0005584']",1.0,0.01837156360072818,6493,1292,3.0
SIRT1,"['C0007222', 'Cardiovascular disease', 'SNOMEDCT_US, HPO', 'HP:0001626']",S,0.018377527365599246,2579,5472,5.0
MSH6,"['C0010709', 'Cyst', 'SNOMEDCT_US, MSH', 'NULL']",NA,0.018387167778878943,532,5150,1.0
CXCL12,"['C0027059', 'Inflammation of heart muscle', 'HPO', 'HP:0012819']",NA,0.018388279600582935,1321,2074,1.0
RUNX2,"['C4761312', 'Acquired deficiency', 'SNOMEDCT_US', 'NULL']",NA,0.01839607896891897,326,17022,2.0
TIMP1,"['C0242606', 'Oxidative stress', 'HPO', 'HP:0025464']",NA,0.018400519275426543,323,17179,2.0
ADAMTS13,"['C0003864', 'Arthritis', 'MSH, OMIM, SNOMEDCT_US, HPO', 'HP:0001369']",S,0.018406796593060406,378,7246,1.0
KIT,"['C0003864', 'Arthritis', 'MSH, OMIM, SNOMEDCT_US, HPO', 'HP:0001369']",NA,0.018406796593060406,378,7246,1.0
NLRC4,"['C0011991', 'Diarrhea', 'MSH, OMIM, SNOMEDCT_US, HPO', 'HP:0002014']",NA,0.01841134202496895,400,6847,1.0
CXCL10,"['C0032285', 'Pneumonia', 'MSH, OMIM, SNOMEDCT_US, HPO', 'HP:0002090']",NA,0.018415990294977563,1267,6617,3.0
ATF3,"['C0346647', 'Cancer of the pancreas', 'HPO', 'HP:0002894']",S,0.018420551736565993,297,37835,4.0
TRPV4,"['C0018799', 'Cardiac Diseases', 'MSH', 'NULL']",NA,0.018421594570063562,1042,2628,1.0
PTX3,"['C0028754', 'Having too much body fat', 'HPO', 'HP:0001513']",NA,0.018423625962074728,234,23705,2.0
DCK,"['C0006826', 'Cancer', 'HPO', 'HP:0002664']",NA,0.01843463951693353,50,167631,3.0
CD38,"['C0042769', 'Disease caused by virus', 'SNOMEDCT_US', 'NULL']",S,0.018456861902982732,383,7146,1.0
CLDN3,"['C0006826', 'Cancer', 'HPO', 'HP:0002664']",NA,0.018457663881337617,67,167631,4.0
CX3CL1,"['C0678222', 'Breast cancer', 'HPO', 'HP:0003002']",NA,0.0184592330733424,425,13045,2.0
MTOR,"['C0009450', 'Communicable Diseases', 'MSH', 'NULL']",NA,0.01846455318916749,110,76164,3.0
LY6H,"['C0012634', 'Clinical disease AND/OR syndrome', 'SNOMEDCT_US', 'NULL']",NA,0.018473268338565326,15,182416,1.0
U2AF1,"['C0012634', 'Clinical disease AND/OR syndrome', 'SNOMEDCT_US', 'NULL']",NA,0.018473268338565326,15,182416,1.0
ABCB6,"['C0012634', 'Clinical disease AND/OR syndrome', 'SNOMEDCT_US', 'NULL']",NA,0.018473268338565326,15,182416,1.0
STMN1,"['C0012634', 'Clinical disease AND/OR syndrome', 'SNOMEDCT_US', 'NULL']",NA,0.018473268338565326,15,182416,1.0
ADNP,"['C0012634', 'Clinical disease AND/OR syndrome', 'SNOMEDCT_US', 'NULL']",NA,0.018473268338565326,15,182416,1.0
ST3GAL5,"['C0012634', 'Clinical disease AND/OR syndrome', 'SNOMEDCT_US', 'NULL']",NA,0.018473268338565326,15,182416,1.0
ELOVL2,"['C0012634', 'Clinical disease AND/OR syndrome', 'SNOMEDCT_US', 'NULL']",NA,0.018473268338565326,15,182416,1.0
VIT,"['C0012634', 'Clinical disease AND/OR syndrome', 'SNOMEDCT_US', 'NULL']",NA,0.018473268338565326,15,182416,1.0
ACSL1,"['C0012634', 'Clinical disease AND/OR syndrome', 'SNOMEDCT_US', 'NULL']",NA,0.018473268338565326,15,182416,1.0
TAP1,"['C0012634', 'Clinical disease AND/OR syndrome', 'SNOMEDCT_US', 'NULL']",NA,0.018473268338565326,15,182416,1.0
EGR2,"['C0012634', 'Clinical disease AND/OR syndrome', 'SNOMEDCT_US', 'NULL']",NA,0.018473268338565326,15,182416,1.0
COL6A2,"['C0012634', 'Clinical disease AND/OR syndrome', 'SNOMEDCT_US', 'NULL']",NA,0.018473268338565326,15,182416,1.0
GRM1,"['C0012634', 'Clinical disease AND/OR syndrome', 'SNOMEDCT_US', 'NULL']",NA,0.018473268338565326,15,182416,1.0
KRT14,"['C0012634', 'Clinical disease AND/OR syndrome', 'SNOMEDCT_US', 'NULL']",NA,0.018473268338565326,15,182416,1.0
PLXND1,"['C0012634', 'Clinical disease AND/OR syndrome', 'SNOMEDCT_US', 'NULL']",NA,0.018473268338565326,15,182416,1.0
ZNF384,"['C0012634', 'Clinical disease AND/OR syndrome', 'SNOMEDCT_US', 'NULL']",NA,0.018473268338565326,15,182416,1.0
ZFPM1,"['C0012634', 'Clinical disease AND/OR syndrome', 'SNOMEDCT_US', 'NULL']",NA,0.018473268338565326,15,182416,1.0
WSB1,"['C0012634', 'Clinical disease AND/OR syndrome', 'SNOMEDCT_US', 'NULL']",NA,0.018473268338565326,15,182416,1.0
KEL,"['C0012634', 'Clinical disease AND/OR syndrome', 'SNOMEDCT_US', 'NULL']",NA,0.018473268338565326,15,182416,1.0
MAP3K3,"['C0012634', 'Clinical disease AND/OR syndrome', 'SNOMEDCT_US', 'NULL']",NA,0.018473268338565326,15,182416,1.0
APC,"['C0856169', 'Endothelial dysfunction', 'SNOMEDCT_US', 'HP:0032654']",NA,0.01847539808549115,1786,1532,1.0
TRIO,"['C0027651', 'Neoplasia', 'HPO', 'HP:0002664']",NA,0.018493891040372263,18,151966,1.0
DHX9,"['C0027651', 'Neoplasia', 'HPO', 'HP:0002664']",NA,0.018493891040372263,18,151966,1.0
HHIP,"['C0027651', 'Neoplasia', 'HPO', 'HP:0002664']",1.0,0.018493891040372263,18,151966,1.0
CSTA,"['C0027651', 'Neoplasia', 'HPO', 'HP:0002664']",NA,0.018493891040372263,18,151966,1.0
SMC3,"['C0027651', 'Neoplasia', 'HPO', 'HP:0002664']",NA,0.018493891040372263,18,151966,1.0
POLRMT,"['C0027651', 'Neoplasia', 'HPO', 'HP:0002664']",NA,0.018493891040372263,18,151966,1.0
FIP1L1,"['C0027651', 'Neoplasia', 'HPO', 'HP:0002664']",NA,0.018493891040372263,18,151966,1.0
PIK3CG,"['C0027651', 'Neoplasia', 'HPO', 'HP:0002664']",NA,0.018493891040372263,18,151966,1.0
ATXN3,"['C0027651', 'Neoplasia', 'HPO', 'HP:0002664']",NA,0.018493891040372263,18,151966,1.0
DMC1,"['C0027651', 'Neoplasia', 'HPO', 'HP:0002664']",NA,0.018493891040372263,18,151966,1.0
BCKDHA,"['C0027651', 'Neoplasia', 'HPO', 'HP:0002664']",1.0,0.018493891040372263,18,151966,1.0
AP3B1,"['C0027651', 'Neoplasia', 'HPO', 'HP:0002664']",NA,0.018493891040372263,18,151966,1.0
GAD1,"['C0027651', 'Neoplasia', 'HPO', 'HP:0002664']",NA,0.018493891040372263,18,151966,1.0
CD38,"['C0023895', 'Liver disease', 'SNOMEDCT_US, HPO', 'HP:0001392']",S,0.018493939458026926,383,7142,1.0
STAT6,"['C0242379', 'Lung cancer', 'HPO', 'HP:0100526']",NA,0.01849824877107967,402,6804,1.0
CD36,"['C0025517', 'Disorder of metabolism NOS (disorder)', 'SNOMEDCT_US', 'NULL']",NA,0.018509144352616275,754,3627,1.0
IL6,"['C0022104', 'Adaptive colitis', 'SNOMEDCT_US', 'NULL']",1.0,0.018513454655276387,1873,1460,1.0
OGG1,"['C0006826', 'Cancer', 'HPO', 'HP:0002664']",NA,0.018542018484380182,84,167631,5.0
TP53,"['C0024623', 'Gastric cancer', 'HPO', 'HP:0012126']",1.0,0.01854504674522224,3073,5517,6.0
TRPM2,"['C4761312', 'Acquired deficiency', 'SNOMEDCT_US', 'NULL']",NA,0.018547172874830917,659,17022,4.0
STAT3,"['C0009324', 'Colitis ulcerosa', 'HPO', 'HP:0100279']",1.0,0.018557017963935177,7790,2176,6.0
ANO1,"['C0001339', 'Acute pancreatic inflammation', 'HPO', 'HP:0001735']",NA,0.018561904318013835,285,9588,1.0
DCLK1,"['C0030305', 'Pancreatic inflammation', 'HPO', 'HP:0001733']",NA,0.01859925673792482,347,32304,4.0
MSC,"['C0518214', 'Quality of life', 'SNOMEDCT_US', 'NULL']",NA,0.018603251630592767,3186,4416,5.0
EFS,"['C0010674', 'CF - Cystic fibrosis', 'SNOMEDCT_US', 'NULL']",NA,0.01860684883811952,1098,2487,1.0
NLRP3,"['C0024115', 'Lung disease', 'HPO', 'HP:0002088']",1.0,0.01860886163291299,8544,3676,11.0
LGALS3,"['C0006826', 'Cancer', 'HPO', 'HP:0002664']",NA,0.018613411595951364,33,167631,2.0
ABCC9,"['C0006826', 'Cancer', 'HPO', 'HP:0002664']",NA,0.018613411595951364,33,167631,2.0
GRK2,"['C0006826', 'Cancer', 'HPO', 'HP:0002664']",NA,0.018613411595951364,33,167631,2.0
DMD,"['C0011849', 'Diabetes mellitus', 'OMIM, SNOMEDCT_US, HPO', 'HP:0000819']",NA,0.018614269799421185,394,6930,1.0
VDR,"['C0034063', 'Excess fluid in lungs', 'HPO', 'HP:0100598']",S,0.018622249473241394,1729,1579,1.0
STAT1,"['C0376358', 'Prostate cancer', 'HPO', 'HP:0012125']",S,0.018635886431100264,1224,4518,2.0
ABCC2,"['C0006826', 'Cancer', 'HPO', 'HP:0002664']",NA,0.018647091500033144,101,167631,6.0
S1PR1,"['C0006826', 'Cancer', 'HPO', 'HP:0002664']",NA,0.018647091500033144,101,167631,6.0
CLOCK,"['C0006826', 'Cancer', 'HPO', 'HP:0002664']",NA,0.018647091500033144,101,167631,6.0
GCA,"['C0024299', 'Cancer of lymphatic system', 'HPO', 'HP:0002665']",NA,0.018652406284781205,417,6544,1.0
ASIC1,"['PPTO', '\tPain', 'PPTO', 'NULL']",NA,0.01865434766025603,112,24364,1.0
CYP2B6,"['PPTO', '\tPain', 'PPTO', 'NULL']",NA,0.01865434766025603,112,24364,1.0
AKT1,"['C0021655', 'Body fails to respond to insulin', 'HPO', 'HP:0000855']",NA,0.018663424345672103,362,7537,1.0
TBK1,"['C0007102', 'Colon cancer', 'HPO', 'HP:0003003']",NA,0.018689010791078917,805,3388,1.0
GALT,"['C0012634', 'Clinical disease AND/OR syndrome', 'SNOMEDCT_US', 'NULL']",NA,0.018689589208392823,172,182416,11.0
SOX9,"['C0233660', 'Blocking', 'SNOMEDCT_US', 'NULL']",S,0.01869125751954943,823,6714,2.0
MIA,"['C1258666', '(Ganglion unspecified) or (myxoid cyst)', 'SNOMEDCT_US', 'NULL']",NA,0.01869702376012113,1430,1907,1.0
PTEN,"['C4021734', 'Abnormality of mitochondrial metabolism', 'HPO', 'HP:0003287']",S,0.018702211412039555,2695,2050,2.0
TLR4,"['C0085605', 'Hepatic failure', 'OMIM, SNOMEDCT_US, HPO', 'HP:0001399']",1.0,0.018702331132802067,6731,1663,4.0
MET,"['C0497406', 'Overweight', 'HPO', 'HP:0025502']",1.0,0.018709967967298655,1241,2197,1.0
GLS,"['C0030305', 'Pancreatic inflammation', 'HPO', 'HP:0001733']",NA,0.01871183517990783,171,32304,2.0
IL22,"['C0346647', 'Cancer of the pancreas', 'HPO', 'HP:0002894']",1.0,0.018712764961850918,146,37835,2.0
KRT7,"['C0007097', 'Carcinoma', 'HPO, PPTO', 'HP:0030731']",NA,0.018713004029478054,144,18933,1.0
ADA,"['C1397014', 'Imbalance', 'OMIM, HPO', 'HP:0002172']",NA,0.01873340997877043,834,3268,1.0
SET,"['C0006826', 'Cancer', 'HPO', 'HP:0002664']",NA,0.018761265663588718,187,167631,11.0
GPX4,"['C0376358', 'Prostate cancer', 'HPO', 'HP:0012125']",NA,0.018761551350893142,603,4518,1.0
CLU,"['C0010709', 'Cyst', 'SNOMEDCT_US, MSH', 'NULL']",S,0.01876164857843435,529,5150,1.0
AGA,"['C0022658', 'Nephropathy', 'OMIM, HPO, SNOMEDCT_US', 'HP:0000112']",NA,0.018794665582539147,408,6674,1.0
SPP1,"['C0001339', 'Acute pancreatic inflammation', 'HPO', 'HP:0001735']",NA,0.018794665582539147,284,9588,1.0
CCR5,"['C0015967', 'Fever', 'MSH, OMIM, SNOMEDCT_US, HPO, PPTO', 'HP:0001945']",NA,0.018797590841023486,589,9367,2.0
ACE2,"['C0086168', 'Dissociation', 'MSH', 'NULL']",S,0.018807182239312843,9132,1224,4.0
ABCB1,"['C0242379', 'Lung cancer', 'HPO', 'HP:0100526']",NA,0.018828526321461852,400,6804,1.0
CCL11,"['C0011847', 'Diabetes', 'OMIM', 'NULL']",NA,0.018828526321461852,70,38880,1.0
SOCS1,"['C0271510', 'Auditory recruitment', 'SNOMEDCT_US', 'NULL']",NA,0.01884702295699995,735,7501,2.0
CRP,"['C0566602', 'PSC - Primary sclerosing cholangitis', 'SNOMEDCT_US', 'NULL']",1.0,0.01885366549461938,6493,419,1.0
MUC2,"['C1262477', 'Decreased body weight', 'HPO', 'HP:0004325']",NA,0.01886649428732991,456,5965,1.0
