381	55103	173
381	85462	154
381	529	151
381	23362	201
381	283237	180
381	6517	181
381	81554	154
381	7311	161
381	2047	168
381	26003	217
381	84248	155
381	4233	347
381	55605	513
381	1213	322
381	3301	206
381	4636	153
381	8892	160
381	4141	164
381	5546	163
381	5520	201
381	81876	648
381	79090	154
381	689	206
381	26056	501
381	25824	286
381	9815	325
381	84220	166
381	5906	164
381	113220	533
381	5216	201
381	160	170
381	117177	210
381	7531	204
381	102724428	150
381	6570	224
381	72	178
381	200894	217
381	6187	233
381	9648	271
381	10922	162
381	55033	152
381	23209	159
381	25942	192
381	10228	186
381	10289	164
